NUM_OF_TRIANGLES 12

// Geometry format = position (x y z), texture (u v)
//front
-0.5, -0.5, +0.5,	0.0, 1.0
+0.5, -0.5, +0.5,	1.0, 1.0
+0.5, +0.5, +0.5,	1.0, 0.0

+0.5, +0.5, +0.5,	1.0, 0.0
-0.5, +0.5, +0.5,	0.0, 0.0
-0.5, -0.5, +0.5,	0.0, 1.0

//right
+0.5, -0.5, +0.5,	0.0, 1.0
+0.5, -0.5, -0.5,	1.0, 1.0
+0.5, +0.5, -0.5,	1.0, 0.0

+0.5, +0.5, -0.5,	1.0, 0.0
+0.5, +0.5, +0.5,	0.0, 0.0
+0.5, -0.5, +0.5,	0.0, 1.0

//back
+0.5, -0.5, -0.5,	0.0, 1.0
-0.5, -0.5, -0.5,	1.0, 1.0
-0.5, +0.5, -0.5,	1.0, 0.0

-0.5, +0.5, -0.5,	1.0, 0.0
+0.5, +0.5, -0.5,	0.0, 0.0
+0.5, -0.5, -0.5,	0.0, 1.0

//left
-0.5, -0.5, -0.5,	0.0, 1.0
-0.5, -0.5, +0.5,	1.0, 1.0
-0.5, +0.5, +0.5,	1.0, 0.0

-0.5, +0.5, +0.5,	1.0, 0.0
-0.5, +0.5, -0.5,	0.0, 0.0
-0.5, -0.5, -0.5,	0.0, 1.0

//top
-0.5, +0.5, +0.5,	0.0, 1.0
+0.5, +0.5, +0.5,	1.0, 1.0
+0.5, +0.5, -0.5,	1.0, 0.0

+0.5, +0.5, -0.5,	1.0, 0.0
-0.5, +0.5, -0.5,	0.0, 0.0
-0.5, +0.5, +0.5,	0.0, 1.0

//bottom
-0.5, -0.5, -0.5,	0.0, 1.0
+0.5, -0.5, -0.5,	0.0, 0.0
+0.5, -0.5, +0.5,	1.0, 0.0

+0.5, -0.5, +0.5,	1.0, 0.0
-0.5, -0.5, +0.5,	1.0, 1.0
-0.5, -0.5, -0.5,	0.0, 1.0
